lulc,n_obs,mean_cloud_fraction,median_cloud_fraction,near_overcast_share,qc_pass_rate,cth_availability,mean_cth,cot_availability,mean_cot,mean_cwp,mean_rh98,mean_dem,mean_pass_local_hour,mean_cirrus_reflectance,dominant_phase
Arable land,416221,0.8028440283460446,0.9916956,0.5821450623586989,0.8705543449273343,0.7241849882634466,4640.6210676043165,0.42449804310690714,21.520311910428674,216.46194895582985,4.6657699240965735,306.5906644042756,13.537300650668755,0.07047314001026608,liquid
Coniferous forest,228081,0.8252952766242081,0.99976236,0.6221605482262881,0.8733914705740504,0.7405658516053507,4857.981860799288,0.46120018765263215,21.55019064542223,213.4503997242502,22.044988570235574,461.0086652027833,13.530633811001355,0.0739943338918683,liquid
Pastures,202500,0.8293638996496521,0.99994905,0.6233728395061728,0.8673283950617284,0.7458419753086419,4651.544462641854,0.4723358024691358,23.016647574278604,235.34709600106433,8.01007090179852,411.67337089852344,13.560044403609878,0.0710703101290386,liquid
Broadleaf forest,150681,0.8238955933236108,0.9981192,0.6053384301935878,0.8616082983256018,0.7412082478879222,4277.578737877863,0.4666679939740246,22.747131049095678,233.05746652908215,23.343987103230003,404.2287233118243,13.583729260610163,0.06846233326887147,liquid
Urban (discontinuous),81590,0.8243540476417666,0.999090285,0.6184336315724966,0.8645789925235936,0.7404093638926339,4617.651153011787,0.4551905870817502,23.090843176907832,240.5835538881984,9.839299967422479,301.162744543069,13.561382065044734,0.07205342566307485,liquid
Mixed forest,54683,0.8286455339887331,0.9964553,0.6022712726075745,0.8713128394565038,0.7500685770714848,4563.664391340622,0.45846058189931055,21.733526069097326,225.23308546251295,23.397417716003144,490.9905275197411,13.563982379002615,0.06746799244121164,liquid
Industrial/commercial,18368,0.8292226619259555,0.998927715,0.6196646341463414,0.8641659407665505,0.7404725609756098,4624.645261342548,0.44686411149825783,23.410676999629633,247.21964673434454,9.230917243140244,256.47637416621296,13.559378578560539,0.07352097301137853,liquid
Woodland-shrub,10955,0.8354302680114313,1.0,0.6340483797352807,0.8676403468735737,0.7449566408032862,4677.005580536699,0.47740757644910997,24.038115957845125,248.94256517074567,11.971800823979919,416.1957644298494,13.543807950068462,0.07647215917992642,liquid
Water bodies,9726,0.7713410400552906,0.99226065,0.580505860579889,0.8702447049146618,0.7020357803824799,5267.394731556971,0.4151758173966687,22.12123211312531,232.69256372374937,5.503734235533622,-3078.7874899378985,13.494516375488383,0.07783083983917101,liquid
Vineyards,6827,0.778799083747783,0.969617,0.5333235681851473,0.7999121136663249,0.7175919144573019,3517.16143102674,0.40515599824227333,21.770096344302242,229.38328897324655,4.781507768199795,245.37550793906547,13.63547918880914,0.05606263849921647,liquid
Sport & leisure,5514,0.824138011749829,0.997173825,0.6175190424374319,0.8614435981138919,0.7419296336597752,4747.6951893913465,0.4439608269858542,22.19305153305147,236.46530688459964,11.515899135564018,276.1551609299964,13.547726944867609,0.07348289041020802,liquid
Fruit & berries,5091,0.7663088303594017,0.9760138,0.5602042820663917,0.8405028481634257,0.6825770968375565,4498.287174253238,0.415046159890002,17.543668432224326,241.8990486753431,7.922823969573758,390.5336520113927,13.601109780200353,0.08248554409209276,liquid
Natural grassland,4456,0.8028176713438467,0.991375125,0.5949281867145422,0.8812836624775583,0.7356373429084381,4868.188786723612,0.427737881508079,21.071594095855193,219.702399044596,7.648285599416517,538.3960523873429,13.534522702199283,0.07025023025409566,liquid
Mineral extraction,3562,0.7868431829955539,0.98998568,0.5825379000561483,0.8717012914093206,0.6939921392476137,5141.807482387136,0.37535092644581697,20.28664370326103,199.78006057569183,6.007492482088714,204.08713540482873,13.50393032257159,0.07128995004289419,liquid
Agri. + natural veg.,3416,0.816700131321791,0.9926473,0.5992388758782201,0.8691451990632318,0.7388758782201406,4547.4562267472265,0.45491803278688525,21.786237814131276,227.41221298423423,10.49457476229508,323.53767413934423,13.56013363553864,0.07164625196478454,liquid
Urban (continuous),2520,0.8130589480031754,0.99621325,0.5984126984126984,0.8718253968253968,0.7412698412698413,4570.045226937902,0.44007936507936507,21.953333208665466,233.67682517222724,13.373463945039683,287.8242057765873,13.56779096309524,0.07162798863739596,liquid
Complex cultivation,2140,0.8278829044114486,0.997745605,0.6070093457943925,0.8565420560747663,0.7378504672897196,4256.783705332488,0.46214953271028036,23.99522451536906,249.31785489282103,7.889216766214953,324.3469811808411,13.593146373364485,0.06735539370104113,liquid
Green urban,1878,0.8310894917133318,1.0,0.6363152289669861,0.8551650692225772,0.748136315228967,4732.899493350178,0.47231096911608095,22.523215724915442,258.46191735174745,15.53336619685836,249.92128026570822,13.55972660969116,0.07864563160502207,liquid
,1711,0.8266668718252987,1.0,0.6510812390414962,0.8714202220923437,0.7434248977206313,5102.437925188679,0.4652250146113384,24.526168491105526,262.98316346042714,17.58091769748685,691.810917327294,13.543980115137346,0.07275619015738997,
Moors & heathland,1468,0.8193441871463828,1.0,0.635558583106267,0.8760217983651226,0.7574931880108992,5269.340463758993,0.4720708446866485,23.61976063978355,273.41881607647906,11.231349725068121,962.7519385769755,13.517200249318801,0.07266776967081605,liquid
Water courses,1357,0.8577302359648585,1.0,0.6691230655858511,0.8334561532792926,0.7597641857037583,4625.680253443259,0.48268238761974946,22.14664507740458,230.07913617709926,5.183727924981578,-81626.04678615475,13.595308232129698,0.07245078708817485,liquid
Airports,812,0.7788026721748345,0.9880093999999999,0.5578817733990148,0.9014778325123153,0.708128078817734,4796.976271947827,0.4433497536945813,21.854306749833334,249.5445396111111,6.23424009950739,316.65597318719216,13.539511448275864,0.07457432256841086,liquid
Road & rail,535,0.814938045283028,0.99678636,0.5925233644859813,0.8785046728971962,0.7420560747663552,4823.830406322418,0.4373831775700935,21.997493454700855,241.50680302777778,7.688285470280374,263.92148398317755,13.530996837383178,0.07988566342093023,liquid
Dump sites,480,0.8289316030599999,0.99892175,0.60625,0.85625,0.7229166666666667,4677.895424149856,0.4583333333333333,24.96571196590909,243.4540590318182,7.744263401875,238.16386676041665,13.570833272916667,0.0737469460895585,liquid
Bare rocks,429,0.8755833344708625,1.0,0.696969696969697,0.8717948717948718,0.8671328671328671,5477.789245967742,0.5641025641025641,24.761172877272728,302.0648851859504,17.489835586013985,1911.372043123543,13.56002332867133,0.07693822279160839,liquid
Inland marshes,425,0.7600259792544235,0.9729818,0.5364705882352941,0.8635294117647059,0.6894117647058824,5500.328263686007,0.37176470588235294,17.10131865,169.86936863481012,6.651090786588235,226.1700121882353,13.450784275294117,0.07743898139950124,liquid
Sparse vegetation,383,0.8093640300872063,0.9975647,0.6057441253263708,0.8851174934725848,0.7754569190600522,5600.419783838384,0.4360313315926893,23.144977008383233,268.42799431137723,13.816050486422977,1169.608555456919,13.502175798955614,0.07361260344741144,liquid
Beaches & dunes,242,0.7682873046372314,0.99503515,0.5991735537190083,0.8884297520661157,0.6900826446280992,5838.91473,0.3884297520661157,19.525206414893617,186.28069443617022,4.585179423140496,521.8722976859505,13.432506851239669,0.08074249125639485,liquid
Construction sites,198,0.7914543632545454,1.0,0.6111111111111112,0.8484848484848485,0.7424242424242424,4516.744911292517,0.4444444444444444,18.991360609090908,189.1257442840909,5.7243496494949495,296.5327130808081,13.504629575757575,0.07002019537511112,liquid
Peat bogs,185,0.7699256934352973,0.9984615,0.6162162162162163,0.8702702702702703,0.7621621621621621,5101.802457446809,0.518918918918919,22.632338239583333,294.9096815520833,9.17991946162162,733.702357945946,13.565315313513514,0.08393583750201183,liquid
Port areas,30,0.9450311526666667,1.0,0.8333333333333334,0.7333333333333333,0.8,4452.206365833333,0.5333333333333333,19.7641879375,200.0584136875,10.7250005,87.7234025,13.622222133333333,0.07743711922333334,liquid
